recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_after_prog, hazard_trt, prog_rate_trt, prog_rate_ctrl, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.1, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 363, 363, 154.695464674432, 154.695464674432, 1, 1, 263.716998833404, 263.716998833404, 1, 1, 0.707045149399298, 0.707045149399298, 0.497575674830839, 0.497575674830839
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0.1, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 182, 182, 132.024233698955, 132.024233698955, 1, 1, 197.378153313671, 197.378153313671, 1, 1, 0.498941575636257, 0.498941575636257, 0.245895218822208, 0.245895218822208
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.1, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 7.02864279220164e-05, 0.000158144462824537, 0, 1087, 1076, 172.851855238269, 172.838228062349, 0.999779179994637, 0.997986208919697, 326.758577894082, 326.663262430649, 0.999218501030178, 0.996240430634263, 0.891115735780849, 0.89090563852122, 0.793305985428244, 0.79258822883842
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.1, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 363, 359, 154.695464674432, 154.595561474256, 0.998366670590378, 0.994474617205052, 263.716998833404, 263.144555871424, 0.995193080249855, 0.990508309709708, 0.707045149399298, 0.705613862425767, 0.497575674830839, 0.493874256066436
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
913.125, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.1, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 182, 180, 132.024233698955, 131.728591100172, 0.99507825075731, 0.990275081852461, 197.378153313671, 196.096821086991, 0.988635411072323, 0.985040090127457, 0.498941575636257, 0.495170147879946, 0.245895218822208, 0.239467334881789
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.2, 0.2, 0.8, 0, 0, 0.000790722314122685, 0.000632577851298148, 0.000158144462824537, 0.000158144462824537, 0, 1076, 1076, 172.838228062349, 172.838228062349, 1, 1, 326.663262430649, 326.663262430649, 1, 1, 0.89090563852122, 0.89090563852122, 0.79258822883842, 0.79258822883842
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
913.125, 500, 188, 375, 250, 250, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
913.125, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
547.875, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
913.125, 1500, 563, 1125, 750, 750, 0.00189773355389444, 0.2, 0.2, 0.8, 0, 0, 0.00237216694236805, 0.00189773355389444, 0.000474433388473611, 0.000474433388473611, 0, 359, 359, 154.595561474256, 154.595561474256, 1, 1, 263.144555871424, 263.144555871424, 1, 1, 0.705613862425767, 0.705613862425767, 0.493874256066436, 0.493874256066436
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
913.125, 300, 113, 225, 150, 150, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
547.875, 500, 188, 375, 250, 250, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
913.125, 500, 188, 375, 250, 250, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
913.125, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
547.875, 1500, 563, 1125, 750, 750, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
